CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0137,0.9999221809131249,C0152,0.9998412569455821,C0107,0.9883377948271266
C0002,C0142,0.9761737146271058,C0043,0.9710899322491692,C0128,0.9188083612317366
C0003,C0133,0.9951250379665224,C0052,0.9671496915412165,C0112,0.9492609210489849
C0004,C0108,0.9817437225795006,C0113,0.9792365666360403,C0155,0.9682324699281868
C0005,C0159,0.9995133984932996,C0123,0.9840382201257454,C0186,0.9779562984938809
C0006,C0158,0.9760229949636509,C0168,0.9718219873631321,C0171,0.942182867612592
C0007,C0140,0.982731462412781,C0080,0.9553784099452733,C0078,0.9548549559626578
C0008,C0109,0.982321995630062,C0139,0.970458319949192,C0098,0.9527783640153531
C0009,C0121,0.9752503943418497,C0010,0.9688271638761629,C0060,0.9664726755123833
C0010,C0199,0.9939286985386103,C0121,0.9713362512669789,C0009,0.9688271638761629
C0011,C0107,0.9982486919159834,C0048,0.9978206995173738,C0152,0.9811936262271339
C0012,C0155,0.9824820546022084,C0102,0.974260323752769,C0153,0.9719895347940546
C0013,C0087,0.9906815104490385,C0155,0.9853410979441289,C0099,0.9845160996102761
C0014,C0198,0.9868801811818362,C0060,0.9799694606905558,C0009,0.9531585980663184
C0015,C0144,0.9948644105192992,C0036,0.9790912642657609,C0058,0.975924078082155
C0016,C0183,0.9999359091144674,C0067,0.9358792343430261,C0026,0.9332109256869036
C0017,C0124,0.980515844536616,C0075,0.9792859572467353,C0051,0.9051259409438724
C0018,C0079,0.950300766509791,C0117,0.9487835539114441,C0016,0.9323483359334647
C0019,C0172,0.9999898576631232,C0111,0.9642191231910585,C0103,0.9466537996996065
C0020,C0144,0.9420995202647048,C0042,0.9342404169904867,C0176,0.9324524353501851
